Man. ID,Manufucturer Name,Turb. ID,Turbine Name,Power (kW) at wind speed (m/s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26,26.5,27,27.5,28,28.5,29,29.5,30,30.5,31,31.5,32,32.5,33,33.5,34,34.5,35,,
25,Mitsubishi,1183,MWT-250,0,0,0,0,0,0,0,0,0,0,0,5,13,29,46,61,76,93,110,129,150,172,195,217,237,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
25,Mitsubishi,562,MWT-92,0,0,0,0,0,0,0,0,41,100,169,260,361,470,584,740,903,1120,1337,1555,1764,1965,2160,2265,2364,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
25,Mitsubishi,284,MWT-92-2.3,0,0,0,0,0,0,0,29,57,104,150,232,314,410,529,705,893,1050,1250,1480,1736,1921,2107,2210,2264,2290,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
25,Mitsubishi,561,MWT-95,0,0,0,0,0,0,0,7,58,115,185,260,343,470,615,800,995,1190,1388,1615,1838,2030,2199,2320,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,Nordex,148,N50/800,0,0,0,0,0,0,6,12,24,35,48,69,90,127,164,210,255,305,355,413,470,540,605,660,700,740,770,800,815,825,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,Nordex,306,N54/1000,0,0,0,0,0,0,0,16,33,50,71,105,140,190,244,300,355,425,494,555,615,680,745,795,842,895,948,995,1041,1066,1090,1095,1090,1079,1067,1052,1036,1029,1022,1017,1012,1010,1008,1006,1003,999,994,992,989,983,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,Nordex,12,N60/1300,0,0,0,0,0,0,0,10,29,45,73,102,131,186,241,308,376,456,536,620,704,788,871,944,1016,1075,1124,1195,1247,1274,1301,1322,1344,1354,1364,1355,1335,1322,1319,1316,1314,1313,1312,1309,1307,1301,1295,1293,1292,1292,1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,Nordex,264,N62/1300,0,0,0,0,0,0,7,10,24,59,91,122,161,200,252,325,415,560,671,755,843,923,990,1056,1115,1171,1230,1269,1287,1290,1290,1290,1285,1275,1259,1248,1231,1213,1199,1189,1178,1168,1152,1147,1140,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,Nordex,922,N77,0,0,0,0,0,0,0,11,25,54,87,151,214,296,377,483,589,722,855,1009,1162,1308,1453,1495,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,Nordex,412,N80/2500,0,0,0,0,0,0,0,0,15,68,121,186,251,342,433,550,667,821,974,1147,1319,1497,1675,1840,2004,2143,2281,2390,2463,2482,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,Nordex,8,N90/2300,0,0,0,0,0,0,0,0,35,105,175,264,352,466,580,725,870,1054,1237,1430,1623,1818,2012,2140,2230,2280,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,Nordex,7,N90/2500,0,0,0,0,0,0,5,17,62,119,188,269,363,472,599,746,912,1097,1299,1515,1744,1969,2149,2288,2389,2456,2492,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,Nordex,13,N90/2500 Offshore,0,0,0,0,0,0,0,31,62,125,188,276,363,481,599,756,912,1106,1299,1522,1744,1947,2149,2280,2389,2460,2492,2498,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,Nordex,11,S70,0,0,0,0,0,0,0,0,24,56,87,139,190,260,329,430,531,634,736,876,1016,1150,1284,1375,1426,1470,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,Nordex,10,S77,0,0,0,0,0,0,0,0,44,88,131,188,244,322,400,500,600,727,854,983,1111,1221,1331,1420,1475,1495,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,Nordex,77,S82,0,0,0,0,0,0,0,20,51,100,148,219,289,386,483,606,729,874,1018,1141,1263,1339,1414,1455,1489,1498,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
10,Siemens,887,SWT-3.2-113,0,0,0,0,0,28,64,110,169,255,350,487,623,814,1004,1255,1506,1811,2115,2414,2712,2940,3083,3150,3187,3195,3199,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
10,Siemens,993,SWT-3.3-130,0,0,0,0,0,19,42,109,180,294,412,585,760,1000,1241,1553,1864,2226,2588,2910,3122,3225,3278,3292,3298,3299,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
10,Siemens,20,SWT-3.6-107,0,0,0,0,0,0,0,35,80,155,238,350,474,630,802,1018,1234,1504,1773,2076,2379,2664,2948,3141,3334,3425,3515,3546,3577,3586,3594,3598,3599,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
